gene_name,count
Olfr564,9
Olfr761,9
Olfr503,9
Olfr1080,9
Olfr871,9
Olfr380,9
Olfr456,9
Olfr725,9
Olfr782,9
Olfr1436,9
Olfr1084,9
Olfr1082,9
Olfr154,9
Olfr885,9
Olfr171,9
Olfr175-ps1,9
Olfr1037,9
Taar7f,8
Olfr746,8
Taar7b,8
Olfr1076,8
Olfr493,8
Olfr153,8
Olfr742,8
Olfr1337,8
Olfr1474,8
Olfr1471,8
Olfr987,8
Olfr1329,8
Olfr598,8
Olfr98,8
Olfr239,8
Olfr1133,8
Olfr1049,8
Taar8a,8
Olfr1360,8
Olfr1283,7
Olfr726,7
Olfr774,7
Olfr680-ps1,7
Olfr955,7
Olfr952,7
Taar7e,7
Olfr960,7
Olfr203,7
Olfr1287,7
Olfr494,7
Olfr159,7
Olfr1425,6
Taar7a,6
Olfr170,6
Olfr486,6
Olfr749,6
Olfr1248,6
Olfr1511,6
Olfr723,6
Olfr724,5
Olfr1315-ps1,5
Olfr1502,5
Taar8b,4
Olfr1282,4
Olfr823,4
Olfr1344,4
Olfr331,4
Olfr1373,4
Olfr747,4
Olfr1371,4
Taar8c,3
Olfr603,3
Olfr773,2
Olfr688,2
Olfr20,1
Olfr1506,1
